SMILES,Absorption/nm,Emission/nm,PLQY
O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=CN2C=C1,355.0,427.0,0.39
O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=C(N2C=C1)N,426.0,520.0,0.43
O=C(C1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,387.0,528.0,0.49
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,355.0,491.0,0.46
COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=C4)C4=N2,350.0,490.0,0.25
OCC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,341.0,495.0,0.29
N#CC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,389.0,525.0,0.42
CCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,368.0,516.0,0.24
CCCCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,368.0,516.0,0.24
CCCCCCCCC1=C(NC2CCCCC2)N(C=CN=C3)C3=N1,329.0,485.0,0.21
BrC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,388.0,524.0,0.42
COC1=CC=CC(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=C1,384.0,526.0,0.51
O=C(C1=CC2=NC(C(C=C3)=CC=C3N4C=CN=C4)=C(NC5CCCCC5)N2C=C1)OC,387.0,529.0,0.83
CN1C(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=CC=C1,392.0,530.0,0.64
ClC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,392.0,532.0,0.67
O=C(C1=CC2=NC(C3=CNC=N3)=C(NC4CCCCC4)N2C=C1)OC,400.0,532.0,0.63
O=C(C1=CC2=NC(C(O3)=CC=C3S(=O)(O)=O)=C(NC4CCCCC4)N2C=C1)OC,393.0,533.0,0.31
CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,398.0,535.0,0.71
CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=[N+]2C,399.0,568.0,0.42
CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,368.0,500.0,0.46
O=C(C1=CC2=NC(C3=CC=CC=C3S(=O)(O)=O)=C(NC4CCCCC4)N2C=C1)OC,382.0,539.0,0.62
C/C(C1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1)=C\C4=CC=CC=C4,392.0,542.0,0.51
O=C(C1=CC2=NC(/C=C/C3=CC=CO3)=C(NC4CCCCC4)N2C=C1)OC,413.0,558.0,0.37
O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,414.0,559.0,0.42
COC(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,365.0,514.0,0.23
CN(C)C(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,434.0,573.0,0.35
CN(C)C(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,407.0,520.0,0.24
FC1=CC=C(C=C1)NC2=C(/C=C/C3=CC=C(OC)C=C3)N=C4C=C(C(OC)=O)C=CN42,400.0,528.0,0.27
O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCCN4CCOCC4)N2C=C1)OC,384.0,542.0,0.52
CC(C)(C)NC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,416.0,554.0,0.48
O=C(OC(C)(C)C)CNC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,410.0,555.0,0.37
O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCC(OC)=O)N2C=C1)OC,411.0,556.0,0.39
O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCC4=CC=CC=C4)N2C=C1)OC,419.0,556.0,0.52
CC(C)NC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,413.0,558.0,0.49
CC1=CC=C(C2=C(N3C=CC(C(OC)=O)=CC3=N2)NCC(N(CCC)CCC)=O)O1,391.0,532.0,0.62
O=C(CNC(N1C=C2)=C(/C=C/C3=CC=C(C=C3)OC)N=C1C=C2C(OC)=O)N(CCC)CCC,413.0,558.0,0.49
COC(C1=CC2=NC(C3=CC=C(Cl)C=C3)=C(N2C=C1)NCC(N(CCC)CCC)=O)=O,385.0,524.0,0.68
O=C(CNC(N1C=C2)=C(C3=C(O)C=C(C)C=C3)N=C1C=C2C(OC)=O)N(CCC)CCC,390.0,530.0,0.11
ClC(C=C1)=CC=C1C2=C(NCC(N(CCC)CCC)=O)N(C=CC(C#N)=C3)C3=N2,387.0,520.0,0.89
NC1=C(C2=CC=C(Cl)C=C2)N=C3C=C(C#N)C=CN31,430.0,513.0,0.55
NC1=CC(C(OC)=O)=CC=N1,342.0,424.0,0.28
NC1=CC=CC(C(OC)=O)=N1,326.0,411.0,0.27
NC1=NC=CN=C1,321.0,383.0,0.4
C12=CC=CC=C1NB3C(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C(B(N6)O3)=CC7=C6C=CC=C7)=C2,413.0,426.0,0.79
CC(C=C1)=CC=C1C(C2=CC3=CC=CC=C3NB2OB4N5)=C(C6=CC=C(C)C=C6)C4=CC7=C5C=CC=C7,412.0,428.0,0.77
CC1=CC(C(C2=C3)=C(C4=CC(C)=CC=C4)C5=CC6=CC=CC=C6NB5OB2NC7=C3C=CC=C7)=CC=C1,413.0,427.0,0.79
COC(C=C1)=CC=C1C(C2=CC3=CC=CC=C3NB2OB4N5)=C(C6=CC=C(OC)C=C6)C4=CC7=C5C=CC=C7,413.0,433.0,0.69
FC(C=C1)=CC=C1C(C2=CC3=CC=CC=C3NB2OB4N5)=C(C6=CC=C(F)C=C6)C4=CC7=C5C=CC=C7,413.0,427.0,0.73
ClC(C=C1)=CC=C1C(C2=CC3=CC=CC=C3NB2OB4N5)=C(C6=CC=C(Cl)C=C6)C4=CC7=C5C=CC=C7,413.0,427.0,0.7
FC(C(C=C1)=CC=C1C(C2=CC3=CC=CC=C3NB2OB4N5)=C(C6=CC=C(OC)C=C6)C4=CC7=C5C=CC=C7)(F)F,413.0,429.0,0.71
C12=CC=CC=C1N(C3=CC=CC=C3)B4C(C(C5=CC=CC=C5)=C(C6=CC=CC=C6)C(B(N7C8=CC=CC=C8)O4)=CC9=C7C=CC=C9)=C2,419.0,433.0,0.68
C12=CC=CC=C1N(CC3=CC=CC=C3)B4C(C(C5=CC=CC=C5)=C(C6=CC=CC=C6)C(B(N7CC8=CC=CC=C8)O4)=CC9=C7C=CC=C9)=C2,415.0,431.0,0.69
CCCCN1B2OB3C(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C2=CC6=C1C=CC=C6)=CC7=CC=CC=C7N3CCCC,418.0,430.0,0.78
FC1=CC=C(C=C(C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C(B(N4CC5=CC=CC=C5)O6)=CC7=C4C=C(F)C=C7)B6N8CC9=CC=CC=C9)C8=C1,412.0,423.0,0.75
CC1=CC=C(C=C(C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C(B(N4CC5=CC=CC=C5)O6)=CC7=C4C=C(C)C=C7)B6N8CC9=CC=CC=C9)C8=C1,421.0,434.0,0.68
BrC1=CC=C2C(C=C(C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C(B(N5)O6)=CC7=C5C=CC(Br)=C7)B6N2)=C1,420.0,433.0,0.24
BrC1=CC=C2C(C=C(C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C(B(N5)O6)=CC7=C5C=CC(C8=CC=C(OC)C=C8)=C7)B6N2)=C1,419.0,437.0,0.57
COC(C=C1)=CC=C1C2=CC(C=C3C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC7=CC(C8=CC=C(OC)C=C8)=CC=C7NB6OB3N9)=C9C=C2,425.0,445.0,0.65
C12=C(C3=CC=CC=C3)C=C(C=C(C=C(C4=CC=CC=C4)C5=C6C(N7)=CC=C5)C6=C8B7N9)C8=C1C9=CC=C2,450.0,459.0,0.56
CCCCCCN1B2C3=C4C(C=C(C5=CC=CC=C5)C6=C4C(N2CCCCCC)=CC=C6)=CC7=CC(C8=CC=CC=C8)=C9C(C1=CC=C9)=C73,454.0,464.0,0.49
CCCCCCCCCCCCN1B2C3=C4C(C=C(C5=CC=CC=C5)C6=C4C(N2CCCCCCCCCCCC)=CC=C6)=CC7=CC(C8=CC=CC=C8)=C9C(C1=CC=C9)=C73,454.0,467.0,0.43
C12=CC=CC(C3=CC=CC=C3N4C5=C6C=CC=C5)=C1B4N6C7=CC=CC=C72,346.0,378.0,0.22
C12=CC=CC(C3=CC=CC=C3N4C(C=CC=C5)=C5C6=C7C=CC=C6)=C1B4N7C8=CC=CC=C82,367.0,414.0,0.23
C12=CC=CC=C1NB3C(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=C3C=CC=C6)=C2,383.0,430.0,0.56
CC(O1)(C)C(C)(C)OB1C2=CC3=C(C=C2)C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC7=CC=CC=C7NB63,390.0,453.0,0.83
C12=CC=CC=C1NB3C(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=C3C=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=C2,432.0,533.0,0.62
C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(N4)C(C=C5B4C6=C(C=CC(N(C7=CC=CC=C7)C8=CC=CC=C8)=C6)C(C9=CC=CC=C9)=C5C%10=CC=CC=C%10)=C1,443.0,537.0,0.84
CC([Si](C#CC1=CC2=C(C=C1)C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C5=CC6=CC(C#C[Si](C(C)C)(C(C)C)C(C)C)=CC=C6NB52)(C(C)C)C(C)C)C,402.0,473.0,0.52
C1(C2=C(C=C3)C(C(C3=CC=C4)=C4C=C5)=C5C=C2)=CC=C(N6)C(C=C7B6C8=C(C=CC(C9=C%10C(C(C%11=CC=C%12)=C%12C=C%10)=C(C=C%11)C=C9)=C8)C(C%13=CC=CC=C%13)=C7C%14=CC=CC=C%14)=C1,402.0,478.0,0.63
C12=CC=CC=C1NB3C(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=C3C=C(C7=CC(B8NC9=CC=CC=C9C=C%108)=C(C(C%11=CC=CC=C%11)=C%10C%12=CC=CC=C%12)C=C7)C=C6)=C2,411.0,485.0,0.64
