Et30,SP,SdP,SA,SB
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
