Et30,SP,SdP,SA,SB
45.6,0.645,0.974,0.044,0.286
45.1,0.83,1.0,0.072,0.647
40.7,0.761,0.769,0.04,0.178
45.6,0.645,0.974,0.044,0.286
37.4,0.714,0.634,0.0,0.591
30.9,0.683,0.0,0.0,0.073
38.9,0.645,0.637,0.0,0.527
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
43.2,0.759,0.977,0.031,0.613
37.4,0.714,0.634,0.0,0.591
45.6,0.645,0.974,0.044,0.286
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
33.9,0.782,0.284,0.0,0.128
45.1,0.83,1.0,0.072,0.647
40.7,0.761,0.769,0.04,0.178
39.1,0.783,0.614,0.047,0.071
40.7,0.761,0.769,0.04,0.178
55.4,0.608,0.904,0.605,0.545
40.7,0.761,0.769,0.04,0.178
55.4,0.608,0.904,0.605,0.545
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
36.0,0.737,0.312,0.0,0.444
45.1,0.83,1.0,0.072,0.647
42.9,0.763,0.987,0.028,0.65
39.1,0.783,0.614,0.047,0.071
33.9,0.782,0.284,0.0,0.128
40.7,0.761,0.769,0.04,0.178
51.9,0.633,0.783,0.4,0.658
40.7,0.761,0.769,0.04,0.178
33.9,0.782,0.284,0.0,0.128
39.1,0.783,0.614,0.047,0.071
51.9,0.633,0.783,0.4,0.658
40.7,0.761,0.769,0.04,0.178
33.9,0.782,0.284,0.0,0.128
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
45.6,0.645,0.974,0.044,0.286
51.9,0.633,0.783,0.4,0.658
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
40.7,0.761,0.769,0.04,0.178
33.9,0.782,0.284,0.0,0.128
40.7,0.761,0.769,0.04,0.178
31.0,0.616,0.0,0.0,0.056
55.4,0.608,0.904,0.605,0.545
36.0,0.737,0.312,0.0,0.444
55.4,0.608,0.904,0.605,0.545
31.0,0.616,0.0,0.0,0.056
39.1,0.783,0.614,0.047,0.071
43.2,0.759,0.977,0.031,0.613
40.7,0.761,0.769,0.04,0.178
45.1,0.83,1.0,0.072,0.647
37.4,0.714,0.634,0.0,0.591
31.0,0.616,0.0,0.0,0.056
37.4,0.714,0.634,0.0,0.591
40.7,0.761,0.769,0.04,0.178
55.4,0.608,0.904,0.605,0.545
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
40.7,0.761,0.769,0.04,0.178
55.4,0.608,0.904,0.605,0.545
40.7,0.761,0.769,0.04,0.178
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.6,0.645,0.974,0.044,0.286
33.9,0.782,0.284,0.0,0.128
51.9,0.633,0.783,0.4,0.658
40.7,0.761,0.769,0.04,0.178
39.1,0.783,0.614,0.047,0.071
43.2,0.759,0.977,0.031,0.613
40.7,0.761,0.769,0.04,0.178
37.4,0.714,0.634,0.0,0.591
40.7,0.761,0.769,0.04,0.178
45.6,0.645,0.974,0.044,0.286
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
39.1,0.783,0.614,0.047,0.071
45.1,0.83,1.0,0.072,0.647
40.7,0.761,0.769,0.04,0.178
55.4,0.608,0.904,0.605,0.545
51.9,0.633,0.783,0.4,0.658
45.6,0.645,0.974,0.044,0.286
55.4,0.608,0.904,0.605,0.545
39.1,0.783,0.614,0.047,0.071
42.2,0.651,0.907,0.0,0.475
